category,quote,sentiment
usability,everything opens very slowly,negative
age group,8 year old,positive
pleasure,son very pleased,positive
design,Nokia G11 phone,positive
performance,works well,positive
product features,Everything ok - as described.,positive
product features,Everything ok,positive
design,I recommend,positive
performance,It works great,positive
general,I recommend,positive
performance,It works well,positive
general,It is ok,neutral
general,It is ok,neutral
display,хороший смартфон,positive
performance,на свої гроші,positive
